data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
,,#event+code,,#date+occurred,#date+year,,#event+type,,#group+name+first,#group+name+first+assoc,,#group+name+second,#group+name+second+assoc,,,#region+name,#country+name,#adm1+name,#adm2+name,#adm3+name,#loc+name,#geo+lat,#geo+lon,,#meta+source,,#description,#affected+killed,,#country+code
7157787,716,ZIM6478,6478,2020-07-07,2020,1,Violence against civilians,Attack,Police Forces of Zimbabwe (2017-),,1,Civilians (Zimbabwe),Street Traders (Zimbabwe),7,17,Southern Africa,Zimbabwe,Harare,Harare,Chitungwiza Urban,Chitungwiza,-18.0127,31.0756,1,Zim Eye,National,"On 7 July 2020, police shot and seriously wounded a vendor in Chitungwiza (Harare) during national coronavirus lockdown-related policing.",0,1594671476,ZWE
7157785,716,ZIM6476,6476,2020-07-06,2020,1,Protests,Peaceful protest,Protesters (Zimbabwe),Health Workers (Zimbabwe),6,,,0,60,Southern Africa,Zimbabwe,Bulawayo,Bulawayo,Bulawayo City Council,Bulawayo,-20.1500,28.5800,1,Zim Eye,National,"On 6 July 2020, doctors and nurses demonstrated at the Mpilo Hospital in Bulawayo (Bulawayo), demanding an increase in salaries. [size=no report]",0,1594671476,ZWE
7157304,716,ZIM6477,6477,2020-07-06,2020,1,Protests,Protest with intervention,Protesters (Zimbabwe),Health Workers (Zimbabwe),6,Police Forces of Zimbabwe (2017-),,1,16,Southern Africa,Zimbabwe,Harare,Harare,Harare City Council,Harare,-17.8333,31.0500,1,New Zimbabwe; Bulawayo24; 263chat ZW; Zim Eye; Zimbabwean,Subnational-National,"On 6 July 2020, doctors and nurses demonstrated at the Sally Mugabe hospital in Harare (Harare) over salaries during the national coronavirus lockdown. Police intervened and arrested 13 nurses and an unknown number of doctors. [size=at least 13]",0,1594671474,ZWE
7157786,716,ZIM6475,6475,2020-07-05,2020,2,Protests,Peaceful protest,Protesters (Zimbabwe),,6,,,0,60,Southern Africa,Zimbabwe,Bulawayo,Bulawayo,Bulawayo City Council,Bulawayo,-20.1500,28.5800,1,Zim Eye,National,"Around 5 July 2020 (as reported), youth marched to the police station in Bulawayo (Bulawayo), demonstrating against police brutality. [size=no report]",0,1594671476,ZWE
7157784,716,ZIM6474,6474,2020-07-04,2020,2,Violence against civilians,Attack,Police Forces of Zimbabwe (2017-),,1,Civilians (Zimbabwe),Labour Group (Zimbabwe),7,17,Southern Africa,Zimbabwe,Mashonaland East,Chikomba,Chikomba RDC,Chivhu,-19.0211,30.8922,1,Zim Eye,National,"Around 4 July 2020 (as reported), police detectives assaulted a shopkeeper in Chivhu (Chikomba, Mashonaland East), after he was caught recording police beating two suspected thieves.",0,1594671476,ZWE
7153651,716,ZIM6472,6472,2020-07-03,2020,2,Protests,Peaceful protest,Protesters (Zimbabwe),Health Workers (Zimbabwe),6,,,0,60,Southern Africa,Zimbabwe,Harare,Harare,Harare City Council,Harare,-17.8333,31.0500,1,Zim Eye,National,"Around 3 July 2020 (as reported), nurses at the Parirenyatwa Group of Hospitals in Harare (Harare) demonstrated in response to a notice to evict them from government accommodation. The government gave the nurses three months notice to vacate their accommodation because they are on strike against poor working conditions and low wages. [size=no report]",0,1594063540,ZWE
7153652,716,ZIM6473,6473,2020-07-03,2020,1,Protests,Peaceful protest,Protesters (Zimbabwe),ZINASU: Zimbabwe National Students Union; Students (Zimbabwe),6,,,0,60,Southern Africa,Zimbabwe,Harare,Harare,Harare City Council,Harare,-17.8333,31.0500,1,Zim Eye,National,"On 3 July 2020, ZINASU demonstrated in Harare (Harare). No more information available. [size=no report]",0,1594063540,ZWE
7153439,716,ZIM6471,6471,2020-07-02,2020,1,Protests,Peaceful protest,Protesters (Zimbabwe),MDC Youth Assembly: Movement for Democratic Change Youth Assembly,6,,,0,60,Southern Africa,Zimbabwe,Harare,Harare,Harare City Council,Mbare,-17.8581,31.0372,1,New Zimbabwe,National,"On 2 July 2020, hundreds of MDC Alliance youths demonstrated at the funeral of a member in Mbare (Harare) against economic decay and corruption in high government offices. [size=hundreds]",0,1594063539,ZWE
7153155,716,ZIM6469,6469,2020-06-27,2020,1,Protests,Peaceful protest,Protesters (Zimbabwe),MDC: Movement for Democratic Change,6,,,0,60,Southern Africa,Zimbabwe,Mashonaland East,Goromonzi,Goromonzi RDC,Goromonzi,-17.8500,31.3833,1,Zim Eye; My Zimbabwe,National,"On 27 June 2020, demonstration action by MDC members was reported in Goromonzi (Mashonaland East). No additional information reported. [size=no report]",0,1594063538,ZWE
